Order ID,Order Date,Region,Category,Sub-Category,Customer Name,Quantity,Unit Price,Discount,Sales,Profit
ORD-10000,2024-01-09,West,Office Supplies,Binders,Omar Iqbal,13,66.95,0.0,870.36,148.12
ORD-10001,2023-09-08,West,Office Supplies,Art,Omar Jones,4,54.29,0.0,217.16,47.0
ORD-10002,2023-10-03,West,Technology,Accessories,Sara Chaudhry,10,515.47,0.15,4922.7,387.12
ORD-10003,2023-08-05,South,Office Supplies,Binders,Ahmed Sheikh,8,61.51,0.15,469.96,56.83
ORD-10004,2023-07-03,East,Furniture,Chairs,Jennifer Johnson,11,319.07,0.1,3404.5,142.9
ORD-10005,2024-07-14,Central,Technology,Phones,Michael Iqbal,4,280.32,0.1,1087.64,92.05
ORD-10006,2024-10-27,Central,Office Supplies,Labels,William Malik,4,32.66,0.2,122.79,12.35
ORD-10007,2024-06-28,West,Furniture,Bookcases,Elizabeth Khan,12,284.59,0.2,3210.22,-244.15
ORD-10008,2023-02-24,Central,Furniture,Furnishings,Linda Jones,4,276.9,0.0,1107.62,74.65
ORD-10009,2023-01-07,Central,Office Supplies,Art,William Smith,6,72.58,0.3,396.29,39.18
ORD-10010,2024-05-09,Central,Office Supplies,Storage,Linda Sheikh,5,32.84,0.1,159.3,23.26
ORD-10011,2023-07-18,South,Office Supplies,Binders,Omar Iqbal,7,20.17,0.1,136.96,30.95
ORD-10012,2023-07-08,South,Furniture,Bookcases,David Khan,9,369.31,0.3,3024.64,-433.81
ORD-10013,2024-02-29,East,Office Supplies,Paper,Michael Ahmed,9,39.64,0.0,356.72,67.99
ORD-10014,2023-09-10,East,Office Supplies,Storage,Michael Chaudhry,7,54.54,0.0,381.79,70.92
ORD-10015,2024-08-27,South,Office Supplies,Paper,Zainab Butt,9,33.07,0.0,297.6,51.26
ORD-10016,2023-12-17,West,Office Supplies,Paper,Elizabeth Chaudhry,4,61.38,0.0,245.54,53.19
ORD-10017,2023-01-16,South,Furniture,Bookcases,James Garcia,6,278.21,0.3,1519.05,-215.04
ORD-10018,2023-01-09,South,Technology,Accessories,Ahmed Raza,7,677.31,0.3,4314.48,184.36
ORD-10019,2023-06-18,South,Technology,Machines,Zainab Williams,4,655.54,0.0,2622.15,368.73
ORD-10020,2024-12-25,South,Office Supplies,Labels,Patricia Malik,7,37.95,0.3,241.74,32.02
ORD-10021,2024-07-16,South,Office Supplies,Labels,James Jones,10,81.86,0.3,744.94,64.75
ORD-10022,2024-11-26,West,Technology,Copiers,Ali Miller,12,524.99,0.0,6299.84,490.88
ORD-10023,2023-10-14,South,Office Supplies,Art,Michael Williams,5,61.75,0.0,308.76,70.54
ORD-10024,2024-08-01,Central,Office Supplies,Art,Zainab Johnson,7,25.57,0.0,179.0,36.95
ORD-10025,2023-07-22,West,Technology,Copiers,Ayesha Garcia,11,257.66,0.15,2706.71,272.08
ORD-10026,2024-08-23,Central,Technology,Accessories,Hassan Miller,3,285.3,0.1,830.24,42.24
ORD-10027,2023-11-09,West,Technology,Accessories,Patricia Miller,10,612.74,0.1,5943.61,471.01
ORD-10028,2023-02-06,Central,Furniture,Tables,Omar Chaudhry,5,114.18,0.15,545.19,4.4
ORD-10029,2024-04-02,Central,Office Supplies,Storage,Robert Jones,3,44.39,0.1,129.18,17.59
ORD-10030,2024-12-06,South,Office Supplies,Binders,John Williams,4,25.85,0.1,100.31,16.96
ORD-10031,2024-01-14,Central,Technology,Phones,Michael Chaudhry,7,578.8,0.15,3869.29,288.47
